event_id,nearest_facility_distance_m,nearest_facility_type,facilities_within_radius
903,552.60276085,industrial_area,4
904,306.85622411,industrial_area,31
905,,,0
906,,,0
907,,,0
908,,,0
909,,,0
910,,,0
911,,,0
912,,,0
913,,,0
914,,,0
915,,,0
916,,,0
917,,,0
918,,,0
919,,,0
920,,,0
921,,,0
922,1667.78168304,industrial_area,5
923,,,0
924,377.6287211,industrial_area,4
925,667.74563797,power_plant,2
926,,,0
927,,,0
928,,,0
929,,,0
930,,,0
931,2270.64742379,industrial_area,5
932,,,0
933,,,0
934,,,0
935,,,0
936,,,0
937,,,0
938,,,0
939,,,0
940,,,0
941,,,0
942,,,0
943,,,0
944,,,0
945,,,0
946,,,0
947,,,0
948,,,0
949,125.90422729,industrial_area,5
950,125.03393648,industrial_area,2
951,228.76702951,power_plant,2
952,572.90217191,power_plant,1
953,318.32071229,industrial_area,16
954,,,0
955,,,0
956,,,0
957,,,0
958,,,0
959,,,0
960,,,0
961,,,0
962,,,0
963,,,0
964,,,0
965,,,0
966,,,0
967,,,0
968,,,0
969,,,0
970,,,0
971,,,0
972,,,0
973,,,0
974,,,0
975,,,0
976,,,0
977,,,0
978,,,0
979,,,0
980,,,0
981,,,0
982,,,0
983,,,0
984,,,0
985,,,0
986,,,0
987,,,0
988,,,0
989,,,0
990,,,0
991,,,0
992,,,0
993,,,0
994,,,0
995,,,0
996,,,0
997,3840.99891579,industrial_area,1
998,995.86215498,industrial_area,53
999,523.26025709,industrial_area,3
1000,,,0
1001,1233.57430826,industrial_area,7
1002,292.50923685,power_plant,4
1003,242.58748787,power_plant,4
1004,1675.02331822,power_plant,6
1005,2538.28518419,industrial_works,8
1006,1160.25529894,power_plant,6
1007,1369.18457782,power_plant,6
1008,1105.9058965,power_plant,6
1009,201.75682516,industrial_area,2
1010,,,0
1011,,,0
1012,,,0
1013,,,0
1014,,,0
1015,,,0
1016,,,0
1017,,,0
1018,,,0
1019,,,0
1020,,,0
1021,,,0
1022,,,0
1023,,,0
1024,,,0
1025,,,0
1026,,,0
1027,3318.60845045,industrial_works,7
1028,3593.3547829,industrial_area,3
1029,3365.13715523,industrial_area,3
1030,,,0
1031,,,0
1032,,,0
1033,707.14102942,industrial_area,1
1034,397.43064991,industrial_area,4
1035,215.42131538,industrial_area,4
1036,,,0
1037,,,0
1038,,,0
1039,,,0
1040,,,0
1041,,,0
1042,,,0
1043,,,0
1044,,,0
1045,,,0
1046,,,0
1047,,,0
1048,,,0
1049,,,0
1050,,,0
1051,676.81341474,industrial_area,2
1052,,,0
1053,,,0
1054,,,0
1055,,,0
1056,,,0
1057,,,0
1058,,,0
1059,841.33192304,industrial_area,2
1060,,,0
1061,,,0
1062,,,0
1063,339.32397626,industrial_area,12
1064,,,0
1065,,,0
1066,,,0
1067,,,0
1068,,,0
1069,,,0
1070,,,0
1071,,,0
1072,,,0
1073,,,0
1074,,,0
1075,,,0
1076,,,0
1077,,,0
1078,2067.69055033,industrial_area,1
1079,,,0
1080,,,0
1081,,,0
1082,,,0
1083,,,0
1084,,,0
1085,,,0
1086,3591.55449316,industrial_area,1
1087,3775.24435668,industrial_area,2
1088,3270.48097146,industrial_area,1
1089,3043.51476658,industrial_area,1
1090,1012.84217885,power_plant,6
1091,3983.86160366,industrial_area,4
1092,,,0
1093,,,0
1094,,,0
1095,,,0
1096,,,0
1097,,,0
1098,,,0
1099,,,0
1100,,,0
1101,,,0
1102,,,0
1103,,,0
1104,,,0
1105,,,0
1106,,,0
1107,,,0
1108,,,0
1109,,,0
1110,,,0
1111,,,0
1112,,,0
1113,,,0
1114,,,0
1115,,,0
1116,,,0
1117,,,0
1118,,,0
1119,,,0
1120,,,0
1121,340.68501164,industrial_works,3
1122,,,0
1123,,,0
1124,,,0
1125,,,0
1126,,,0
1127,,,0
1128,,,0
1129,1272.74054487,industrial_area,2
1130,629.64447424,industrial_area,4
1131,1915.71527253,industrial_area,5
1132,1203.81651081,power_plant,5
1133,403.88697344,industrial_area,5
1134,1399.16220989,industrial_area,3
1135,1333.43636347,industrial_area,3
1136,1146.59787266,industrial_area,3
1137,1113.25982381,industrial_area,3
1138,1096.65494554,power_plant,4
1139,699.46300995,industrial_area,4
1140,539.04550431,industrial_area,12
1141,300.17321129,industrial_area,12
1142,3071.49022412,industrial_area,4
1143,3414.87820681,industrial_area,3
1144,3091.8804781,industrial_area,3
1145,2355.73629186,industrial_area,3
1146,2909.36315475,industrial_area,3
1147,2491.51578854,industrial_area,3
1148,3442.23087168,industrial_area,3
1149,3193.42328959,industrial_area,3
1150,478.57629047,industrial_area,9
1151,3504.10188823,industrial_area,3
1152,3087.52582925,industrial_area,2
1153,3826.78087914,industrial_area,3
1154,436.73742302,power_plant,7
1155,4444.95398662,industrial_area,2
1156,3477.9893687,power_plant,2
1157,2162.86917584,industrial_area,3
1158,4483.5231414,industrial_area,3
1159,4403.94524202,industrial_area,3
1160,,,0
1161,,,0
1162,,,0
1163,,,0
1164,,,0
1165,,,0
1166,,,0
1167,,,0
1168,181.61888085,power_plant,9
